d,compute_Mv,compute_gcd,total
5000,0.001123,0.001559,0.002682
10000,0.002392,0.004318,0.00671
15000,0.004161,0.009207,0.013368
20000,0.005393,0.011838,0.017231
25000,0.007309,0.017125,0.024434
30000,0.008747,0.023062,0.031809
35000,0.010216,0.025741,0.035957
40000,0.011574,0.028284,0.039858
45000,0.01416,0.037788,0.051948
50000,0.015671,0.041652,0.057323
55000,0.017414,0.05455,0.071965
60000,0.01879,0.05631,0.0751
65000,0.020406,0.059429,0.079835
70000,0.021823,0.060951,0.082774
75000,0.023649,0.06499,0.088639
80000,0.025326,0.068037,0.093363
85000,0.029796,0.08948,0.119276
90000,0.030102,0.091,0.121101
95000,0.029056,0.086534,0.11559
100000,0.030212,0.0891,0.119312
105000,0.034764,0.101934,0.136698
110000,0.036297,0.129821,0.166118
115000,0.037589,0.133308,0.170897
120000,0.036173,0.123385,0.159558
125000,0.042257,0.138158,0.180415
130000,0.044447,0.139983,0.18443
135000,0.045996,0.143062,0.189058
140000,0.043342,0.135512,0.178855
145000,0.046249,0.139727,0.185976
150000,0.050748,0.153233,0.203981
155000,0.053646,0.156119,0.209765
160000,0.05124,0.158602,0.209842
165000,0.05395,0.185472,0.239421
170000,0.062961,0.214983,0.277944
175000,0.064586,0.217213,0.281798
180000,0.06583,0.229943,0.295774
185000,0.065278,0.212663,0.277941
190000,0.069849,0.227021,0.29687
195000,0.071591,0.237182,0.308774
200000,0.071499,0.231281,0.30278
